symbol,sector
A,Healthcare
AA,Basic Materials
AAL,Industrials
AAOI,Technology
AAON,Industrials
AAPD,ETF
AAPL,Technology
ABBV,Healthcare
ABNB,Consumer Cyclical
ABT,Healthcare
ABVX,Healthcare
ACA,Industrials
ACGL,Financial Services
ACHR,Industrials
ACI,Consumer Defensive
ACM,Industrials
ACN,Technology
ACWI,ETF
ACWX,ETF
ADBE,Technology
ADI,Technology
ADM,Consumer Defensive
ADP,Technology
ADSK,Technology
AEE,Utilities
AEHR,Technology
AEIS,Industrials
AEM,Basic Materials
AEO,Consumer Cyclical
AEP,Utilities
AER,Industrials
AES,Utilities
AFL,Financial Services
AFRM,Financial Services
AG,Basic Materials
AGCO,Industrials
AGG,ETF
AGI,Basic Materials
AGNC,Real Estate
AGX,Industrials
AHR,Real Estate
AIG,Financial Services
AIQ,ETF
AIT,Industrials
AJG,Financial Services
AKAM,Technology
ALAB,Technology
ALB,Basic Materials
ALC,Healthcare
ALGM,Technology
ALGN,Healthcare
ALHC,Healthcare
ALK,Industrials
ALKS,Healthcare
ALL,Financial Services
ALLE,Industrials
ALLY,Financial Services
ALNY,Healthcare
ALSN,Consumer Cyclical
AMAT,Technology
AMBA,Technology
AMCR,Consumer Cyclical
AMD,Technology
AME,Industrials
AMG,Financial Services
AMGN,Healthcare
AMH,Real Estate
AMKR,Technology
AMP,Financial Services
AMRZ,Basic Materials
AMT,Real Estate
AMZD,ETF
AMZN,Consumer Cyclical
AN,Consumer Cyclical
ANET,Technology
AON,Financial Services
APA,Energy
APD,Basic Materials
APG,Industrials
APGE,Healthcare
APH,Technology
APLD,Technology
APO,Financial Services
APP,Communication Services
APTV,Consumer Cyclical
AR,Energy
ARES,Financial Services
ARGX,Healthcare
ARM,Technology
ARMK,Industrials
ARW,Technology
ARWR,Healthcare
AS,Consumer Cyclical
ASHR,ETF
ASML,Technology
ASND,Healthcare
ASTS,Technology
ASX,Technology
ATI,Industrials
ATO,Utilities
AU,Basic Materials
AUR,Consumer Cyclical
AVAV,Industrials
AVB,Real Estate
AVGO,Technology
AVTR,Healthcare
AVY,Consumer Cyclical
AWI,Industrials
AWK,Utilities
AXON,Industrials
AXP,Financial Services
AXSM,Healthcare
AXTI,Technology
AYI,Industrials
AZN,Healthcare
AZO,Consumer Cyclical
B,Basic Materials
BA,Industrials
BABA,Consumer Cyclical
BAC,Financial Services
BAH,Industrials
BAI,ETF
BALL,Consumer Cyclical
BAM,Financial Services
BAP,Financial Services
BAX,Healthcare
BB,Technology
BBD,Financial Services
BBIO,Healthcare
BBWI,Consumer Cyclical
BBY,Consumer Cyclical
BCS,Financial Services
BDX,Healthcare
BE,Industrials
BEN,Financial Services
BG,Consumer Defensive
BHP,Basic Materials
BIDU,Communication Services
BIIB,Healthcare
BIL,ETF
BITO,ETF
BIV,ETF
BJ,Consumer Defensive
BKLN,ETF
BKNG,Consumer Cyclical
BKR,Energy
BLDR,Industrials
BLK,Financial Services
